SOCIA-4741e36d-ba80-412a-a1dc-c594574c7525=Application{applicationId='SOCIA-4741e36d-ba80-412a-a1dc-c594574c7525', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
EDUCA-3d675891-adbc-46a2-a64f-5f7621ae89db=Application{applicationId='EDUCA-3d675891-adbc-46a2-a64f-5f7621ae89db', name='EnglishCentral', version='5.2.3', size=169.6, applicationType=EDUCATION}
EDUCA-a5238e24-a98a-4038-b3b8-24720528a84e=Application{applicationId='EDUCA-a5238e24-a98a-4038-b3b8-24720528a84e', name='Voscreen', version='2.1', size=24.6, applicationType=EDUCATION}
FINAN-c948c478-7873-4509-9b11-c144b5f7f94f=Application{applicationId='FINAN-c948c478-7873-4509-9b11-c144b5f7f94f', name='Vakıfbank', version='3.0.2', size=281.3, applicationType=FINANCE}
FINAN-e20853dd-89d2-4bbf-9e1b-ec10be7b843a=Application{applicationId='FINAN-e20853dd-89d2-4bbf-9e1b-ec10be7b843a', name='GİB', version='2.9.0', size=61.3, applicationType=FINANCE}
HEALT-3601b190-b9ee-4d5c-a90a-2ee6c6caaa04=Application{applicationId='HEALT-3601b190-b9ee-4d5c-a90a-2ee6c6caaa04', name='MHRS', version='1.6.3', size=17.0, applicationType=HEALTH}
SOCIA-53c4250a-ddce-40c5-977e-367876d63eaf=Application{applicationId='SOCIA-53c4250a-ddce-40c5-977e-367876d63eaf', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
SOCIA-8e599848-28d2-4a17-b37d-1ee9037dce9d=Application{applicationId='SOCIA-8e599848-28d2-4a17-b37d-1ee9037dce9d', name='Discord', version='183.0', size=185.5, applicationType=SOCIAL_MEDIA}
SOCIA-af8ddf47-481d-4e94-87be-16dacb19441d=Application{applicationId='SOCIA-af8ddf47-481d-4e94-87be-16dacb19441d', name='Twitter', version='9.63', size=221.6, applicationType=SOCIAL_MEDIA}
SOCIA-334526fa-7cbc-4908-93b7-3d571e68e72c=Application{applicationId='SOCIA-334526fa-7cbc-4908-93b7-3d571e68e72c', name='Whatsapp', version='23.11.80', size=167.2, applicationType=SOCIAL_MEDIA}
INFOR-eb5fc1c9-0be8-4f69-b547-c55a7eb2dcdd=Application{applicationId='INFOR-eb5fc1c9-0be8-4f69-b547-c55a7eb2dcdd', name='News', version='4.0.5', size=27.1, applicationType=INFORMATION_READ}
EDUCA-d6729bd7-9570-4820-8a2e-0f57fae9e4ca=Application{applicationId='EDUCA-d6729bd7-9570-4820-8a2e-0f57fae9e4ca', name='EnglishCentral', version='5.2.3', size=169.6, applicationType=EDUCATION}
EDUCA-f99bc58b-3774-49e1-a299-475176fb46bc=Application{applicationId='EDUCA-f99bc58b-3774-49e1-a299-475176fb46bc', name='Voscreen', version='2.1', size=24.6, applicationType=EDUCATION}
FINAN-4f83e1b3-fef4-4fd4-b907-12c1aee1500d=Application{applicationId='FINAN-4f83e1b3-fef4-4fd4-b907-12c1aee1500d', name='Vakıfbank', version='3.0.2', size=281.3, applicationType=FINANCE}
FINAN-f1d23f55-0218-4ee0-a40e-aa2b76d4bc69=Application{applicationId='FINAN-f1d23f55-0218-4ee0-a40e-aa2b76d4bc69', name='GİB', version='2.9.0', size=61.3, applicationType=FINANCE}
HEALT-d5e35907-c3b6-4e61-ae19-7f36a4b992fa=Application{applicationId='HEALT-d5e35907-c3b6-4e61-ae19-7f36a4b992fa', name='MHRS', version='1.6.3', size=17.0, applicationType=HEALTH}
SOCIA-9a6036ad-c175-4bf1-8807-647b2c0f5d22=Application{applicationId='SOCIA-9a6036ad-c175-4bf1-8807-647b2c0f5d22', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
SOCIA-f636f11b-b3d7-4539-8de9-c7542976c327=Application{applicationId='SOCIA-f636f11b-b3d7-4539-8de9-c7542976c327', name='Discord', version='183.0', size=185.5, applicationType=SOCIAL_MEDIA}
SOCIA-65446509-0716-4cff-a3fa-082ec9a1d91a=Application{applicationId='SOCIA-65446509-0716-4cff-a3fa-082ec9a1d91a', name='Twitter', version='9.63', size=221.6, applicationType=SOCIAL_MEDIA}
SOCIA-0f31711e-3433-41ce-905f-6f7dc9271696=Application{applicationId='SOCIA-0f31711e-3433-41ce-905f-6f7dc9271696', name='Whatsapp', version='23.11.80', size=167.2, applicationType=SOCIAL_MEDIA}
INFOR-4776b015-679c-43cb-8deb-fdcf0fc071ed=Application{applicationId='INFOR-4776b015-679c-43cb-8deb-fdcf0fc071ed', name='News', version='4.0.5', size=27.1, applicationType=INFORMATION_READ}
EDUCA-a55b7b62-5d6b-463f-8364-f22635e80831=Application{applicationId='EDUCA-a55b7b62-5d6b-463f-8364-f22635e80831', name='EnglishCentral', version='5.2.3', size=169.6, applicationType=EDUCATION}
EDUCA-5ea63d34-7169-47c7-8bba-19e18e6564fc=Application{applicationId='EDUCA-5ea63d34-7169-47c7-8bba-19e18e6564fc', name='Voscreen', version='2.1', size=24.6, applicationType=EDUCATION}
FINAN-0b7c2b38-94b5-4c0a-bea2-d75bcaa2b340=Application{applicationId='FINAN-0b7c2b38-94b5-4c0a-bea2-d75bcaa2b340', name='Vakıfbank', version='3.0.2', size=281.3, applicationType=FINANCE}
FINAN-03aa00ca-2e95-4602-b4a4-b9302f89fbc3=Application{applicationId='FINAN-03aa00ca-2e95-4602-b4a4-b9302f89fbc3', name='GİB', version='2.9.0', size=61.3, applicationType=FINANCE}
HEALT-55bc9e8a-e1ef-4584-8060-9a8a295cd811=Application{applicationId='HEALT-55bc9e8a-e1ef-4584-8060-9a8a295cd811', name='MHRS', version='1.6.3', size=17.0, applicationType=HEALTH}
SOCIA-1474f501-cfa8-40a5-9afd-553fca5c8d56=Application{applicationId='SOCIA-1474f501-cfa8-40a5-9afd-553fca5c8d56', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
SOCIA-a2ac654a-7f81-48a8-ae4b-dba30b5e2b28=Application{applicationId='SOCIA-a2ac654a-7f81-48a8-ae4b-dba30b5e2b28', name='Discord', version='183.0', size=185.5, applicationType=SOCIAL_MEDIA}
SOCIA-bc6ea0c9-d70e-40e7-acdc-4660f21a2f17=Application{applicationId='SOCIA-bc6ea0c9-d70e-40e7-acdc-4660f21a2f17', name='Twitter', version='9.63', size=221.6, applicationType=SOCIAL_MEDIA}
SOCIA-3a43804c-aa26-4c27-9d20-4f787633bb06=Application{applicationId='SOCIA-3a43804c-aa26-4c27-9d20-4f787633bb06', name='Whatsapp', version='23.11.80', size=167.2, applicationType=SOCIAL_MEDIA}
INFOR-80240133-4802-4347-8a5f-0831ffb2b869=Application{applicationId='INFOR-80240133-4802-4347-8a5f-0831ffb2b869', name='News', version='4.0.5', size=27.1, applicationType=INFORMATION_READ}
EDUCA-c862451d-9eae-4f46-86ab-3ae99ae921d3=Application{applicationId='EDUCA-c862451d-9eae-4f46-86ab-3ae99ae921d3', name='EnglishCentral', version='5.2.3', size=169.6, applicationType=EDUCATION}
EDUCA-5097bf01-e3fc-482e-89ce-c6aae0a49457=Application{applicationId='EDUCA-5097bf01-e3fc-482e-89ce-c6aae0a49457', name='Voscreen', version='2.1', size=24.6, applicationType=EDUCATION}
FINAN-b2cc599d-f1a7-441f-91ab-7baee78f63a6=Application{applicationId='FINAN-b2cc599d-f1a7-441f-91ab-7baee78f63a6', name='Vakıfbank', version='3.0.2', size=281.3, applicationType=FINANCE}
FINAN-d06a8e10-d9c5-4ff2-b79f-96f270550e7a=Application{applicationId='FINAN-d06a8e10-d9c5-4ff2-b79f-96f270550e7a', name='GİB', version='2.9.0', size=61.3, applicationType=FINANCE}
HEALT-01484fe6-d689-4307-ab1a-b4ba2691e4dc=Application{applicationId='HEALT-01484fe6-d689-4307-ab1a-b4ba2691e4dc', name='MHRS', version='1.6.3', size=17.0, applicationType=HEALTH}
SOCIA-53508ca7-0cf7-4aae-9c3c-b74aaf1a0e98=Application{applicationId='SOCIA-53508ca7-0cf7-4aae-9c3c-b74aaf1a0e98', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
SOCIA-fa800b97-afec-489f-90c8-96e02b8724dd=Application{applicationId='SOCIA-fa800b97-afec-489f-90c8-96e02b8724dd', name='Discord', version='183.0', size=185.5, applicationType=SOCIAL_MEDIA}
SOCIA-0f10a56e-8453-4a81-9ae3-b9bd83fa8840=Application{applicationId='SOCIA-0f10a56e-8453-4a81-9ae3-b9bd83fa8840', name='Twitter', version='9.63', size=221.6, applicationType=SOCIAL_MEDIA}
SOCIA-14ddff54-6e1b-4d13-a8df-a637d4e76d34=Application{applicationId='SOCIA-14ddff54-6e1b-4d13-a8df-a637d4e76d34', name='Whatsapp', version='23.11.80', size=167.2, applicationType=SOCIAL_MEDIA}
INFOR-78918a96-70a5-40e3-958d-f315139cee6a=Application{applicationId='INFOR-78918a96-70a5-40e3-958d-f315139cee6a', name='News', version='4.0.5', size=27.1, applicationType=INFORMATION_READ}
EDUCA-4899779e-8c29-44d0-9a69-8addc908238e=Application{applicationId='EDUCA-4899779e-8c29-44d0-9a69-8addc908238e', name='EnglishCentral', version='5.2.3', size=169.6, applicationType=EDUCATION}
EDUCA-4ace01d2-c42c-4e21-8c03-86acb05605a2=Application{applicationId='EDUCA-4ace01d2-c42c-4e21-8c03-86acb05605a2', name='Voscreen', version='2.1', size=24.6, applicationType=EDUCATION}
FINAN-e6a49adb-2857-4e44-9135-d3fa9560984a=Application{applicationId='FINAN-e6a49adb-2857-4e44-9135-d3fa9560984a', name='Vakıfbank', version='3.0.2', size=281.3, applicationType=FINANCE}
FINAN-3dda5e0d-79d9-4c17-a35c-2aae36fc1d9b=Application{applicationId='FINAN-3dda5e0d-79d9-4c17-a35c-2aae36fc1d9b', name='GİB', version='2.9.0', size=61.3, applicationType=FINANCE}
HEALT-250b21c6-e9cb-43da-a123-4f2ba19b871d=Application{applicationId='HEALT-250b21c6-e9cb-43da-a123-4f2ba19b871d', name='MHRS', version='1.6.3', size=17.0, applicationType=HEALTH}
SOCIA-96b62bd2-73c8-4b93-a704-492090a723d2=Application{applicationId='SOCIA-96b62bd2-73c8-4b93-a704-492090a723d2', name='Instagram', version='289.0', size=236.2, applicationType=SOCIAL_MEDIA}
SOCIA-0f1c03f5-a332-45dd-9a2f-8e13a6fc81c0=Application{applicationId='SOCIA-0f1c03f5-a332-45dd-9a2f-8e13a6fc81c0', name='Discord', version='183.0', size=185.5, applicationType=SOCIAL_MEDIA}
SOCIA-9fa511d6-8e65-4637-a617-5b1908820d4c=Application{applicationId='SOCIA-9fa511d6-8e65-4637-a617-5b1908820d4c', name='Twitter', version='9.63', size=221.6, applicationType=SOCIAL_MEDIA}
SOCIA-15eb8333-a3a7-43db-948e-9cba0b6e78cb=Application{applicationId='SOCIA-15eb8333-a3a7-43db-948e-9cba0b6e78cb', name='Whatsapp', version='23.11.80', size=167.2, applicationType=SOCIAL_MEDIA}
INFOR-cb18010c-2745-4f4e-ba18-fa45931d6705=Application{applicationId='INFOR-cb18010c-2745-4f4e-ba18-fa45931d6705', name='News', version='4.0.5', size=27.1, applicationType=INFORMATION_READ}
EDUCA-4ed5dbcd-0c62-4ae5-a161-7e75a2691916=Application{applicationId='EDUCA-4ed5dbcd-0c62-4ae5-a161-7e75a2691916', name='EnglishCentral', version='5.2.3', size=169.6, applicationType=EDUCATION}
EDUCA-d2fcefbd-74c9-4d44-bd7b-4113c59fa130=Application{applicationId='EDUCA-d2fcefbd-74c9-4d44-bd7b-4113c59fa130', name='Voscreen', version='2.1', size=24.6, applicationType=EDUCATION}
FINAN-ae31b9f0-1734-455b-9dc7-5b3feb273e82=Application{applicationId='FINAN-ae31b9f0-1734-455b-9dc7-5b3feb273e82', name='Vakıfbank', version='3.0.2', size=281.3, applicationType=FINANCE}
FINAN-882bb9ff-2ead-4887-bc12-74e922f49a40=Application{applicationId='FINAN-882bb9ff-2ead-4887-bc12-74e922f49a40', name='GİB', version='2.9.0', size=61.3, applicationType=FINANCE}
HEALT-5fdeb105-41d8-434d-89f4-446973269e61=Application{applicationId='HEALT-5fdeb105-41d8-434d-89f4-446973269e61', name='MHRS', version='1.6.3', size=17.0, applicationType=HEALTH}
